6014;Leo Langhans;00:03:12.025;1
6015;Vale Reitstetter;00:03:42.279;1
6016;Ben Müller;00:06:40.570;1
7777;Sandro Schneider;00:07:08.589;1
8013;Dennis Dotterweich;00:09:15.966;1
16022;Philipp Harlass;00:10:43.386;1
16023;Roman Hartleb;00:10:49.625;1
16024;Erik Engelhardt;00:12:46.760;1
6018;Leon Heinze;00:13:21.987;1
6666;Kevin Baer;00:15:56.537;1
16023;Roman Hartleb;00:17:53.650;2
6016;Ben Müller;00:22:12.159;2
16024;Erik Engelhardt;00:23:11.550;2
16022;Philipp Harlass;00:24:44.788;2
7777;Sandro Schneider;00:26:07.854;2
6016;Ben Müller;00:27:25.464;3
16024;Erik Engelhardt;00:28:16.150;3
6014;Leo Langhans;00:29:02.034;2
7777;Sandro Schneider;00:30:07.507;3
